order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full,customer_name,city,currency,product_name,category,price_INR,price_USD,on_time,in_full,otif,ontime_target%,infull_target%,otif_target%
FMR34203601,2025-03-01,789203,25891601,110,2025-03-04,2025-03-04,110,1,1,1,Rel Fresh,Vadodara,INR,AM Tea 500,beverages,225,6.0,1,1,1,92,76,70
FMR32320302,2025-03-01,789320,25891203,347,2025-03-02,2025-03-02,347,1,1,1,Whole Foods Market,"New Jersey, US",USD,AM Butter 500,Dairy,300,9.0,1,1,1,91,81,74
FMR33320501,2025-03-01,789320,25891203,187,2025-03-03,2025-03-03,150,0,1,0,Whole Foods Market,"New Jersey, US",USD,AM Butter 500,Dairy,300,9.0,1,0,0,91,81,74
FMR34220601,2025-03-01,789220,25891203,235,2025-03-04,2025-03-04,235,1,1,1,ShopRite,"New Jersey, US",USD,AM Butter 500,Dairy,300,9.0,1,1,1,91,76,69
FMR33703603,2025-03-01,789703,25891203,176,2025-03-03,2025-03-03,176,1,1,1,Sorefoz Mart,Vadodara,INR,AM Butter 500,Dairy,300,9.0,1,1,1,85,78,66
FMR33721603,2025-03-01,789721,25891203,345,2025-03-03,2025-03-03,345,1,1,1,Logic Stores,Ahmedabad,INR,AM Butter 500,Dairy,300,9.0,1,1,1,89,75,67
FMR33420203,2025-03-01,789420,25891203,138,2025-03-03,2025-03-06,138,1,0,0,Lidl,"New Jersey, US",USD,AM Butter 500,Dairy,300,9.0,0,1,0,75,79,59
FMR34420402,2025-03-01,789420,25891203,381,2025-03-04,2025-03-05,381,1,0,0,Lidl,"New Jersey, US",USD,AM Butter 500,Dairy,300,9.0,0,1,0,75,79,59
FMR32403401,2025-03-01,789403,25891203,348,2025-03-02,2025-03-02,348,1,1,1,Propel Mart,Vadodara,INR,AM Butter 500,Dairy,300,9.0,1,1,1,86,79,68
FMR34121203,2025-03-01,789121,25891203,480,2025-03-04,2025-03-06,480,1,0,0,Coolblue,Ahmedabad,INR,AM Butter 500,Dairy,300,9.0,0,1,0,78,77,60
FMR32501601,2025-03-01,789501,25891203,478,2025-03-02,2025-03-02,478,1,1,1,Best Market,"New Jersey, US",USD,AM Butter 500,Dairy,300,9.0,1,0,0,92,80,74
FMR34501203,2025-03-01,789501,25891203,491,2025-03-04,2025-03-04,491,1,1,1,Best Market,"New Jersey, US",USD,AM Butter 500,Dairy,300,9.0,1,1,1,92,80,74
FMR34102602,2025-03-01,789102,25891203,407,2025-03-04,2025-03-04,387,0,1,0,Vijay Stores,Ahmedabad,INR,AM Butter 500,Dairy,300,9.0,1,0,0,90,81,73
FMR33902203,2025-03-01,789902,25891203,299,2025-03-03,2025-03-03,299,1,1,1,Elite Mart,Ahmedabad,INR,AM Butter 500,Dairy,300,9.0,1,0,0,90,81,73
FMR34903603,2025-03-01,789903,25891203,329,2025-03-04,2025-03-04,329,1,1,1,Elite Mart,Vadodara,INR,AM Butter 500,Dairy,300,9.0,1,0,0,92,65,60
FMR32421203,2025-03-01,789421,25891203,441,2025-03-02,2025-03-03,419,0,0,0,Lotus Mart,Ahmedabad,INR,AM Butter 500,Dairy,300,9.0,0,0,0,78,66,51
FMR33421203,2025-03-01,789421,25891203,104,2025-03-03,2025-03-06,99,0,0,0,Lotus Mart,Ahmedabad,INR,AM Butter 500,Dairy,300,9.0,0,0,0,78,66,51
FMR33402203,2025-03-01,789402,25891203,491,2025-03-03,2025-03-05,491,1,0,0,Propel Mart,Ahmedabad,INR,AM Butter 500,Dairy,300,9.0,0,1,0,89,80,71
FMR33621603,2025-03-01,789621,25891203,138,2025-03-03,2025-03-03,138,1,1,1,Expert Mart,Ahmedabad,INR,AM Butter 500,Dairy,300,9.0,1,1,1,92,81,75
FMR34520301,2025-03-01,789520,25891203,172,2025-03-04,2025-03-04,155,0,1,0,Fairway Market,"New Jersey, US",USD,AM Butter 500,Dairy,300,9.0,1,0,0,75,68,51
FMR33702302,2025-03-01,789702,25891302,38,2025-03-03,2025-03-03,30,0,1,0,Sorefoz Mart,Ahmedabad,INR,AM Ghee 150,Dairy,135,4.0,1,0,0,89,66,59
FMR32320302,2025-03-01,789320,25891302,54,2025-03-02,2025-03-02,54,1,1,1,Whole Foods Market,"New Jersey, US",USD,AM Ghee 150,Dairy,135,4.0,1,1,1,91,81,74
FMR34603302,2025-03-01,789603,25891302,37,2025-03-04,2025-03-04,37,1,1,1,Info Stores,Vadodara,INR,AM Ghee 150,Dairy,135,4.0,1,1,1,92,75,69
